UPI Remitter Banks,Year,Month,Total Volume (In Mn),Approved %,BD %	,	TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
City Union Bank,2023,4,26.6,92.01%,7.23%,0.75%,0.14,82.07%
Ujjivan Small Finance Bank,2023,4,25.3,93.44%,6.05%,0.52%,0.15,55.64%
AU Small Finance Bank,2023,4,25.25,94.73%,5.16%,0.11%,0.09,0.03%
Equitas Bank,2023,4,24.78,89.64%,9.84%,0.51%,0.11,94.37%
Punjab and Sind Bank,2023,4,24.18,72.89%,12.14%,14.97%,0.1,74.71%
Tamilnad Mercantile Bank,2023,4,22.61,93.27%,6.31%,0.42%,0.08,56.86%
DBS Bank,2023,4,22.47,95.48%,4.10%,0.42%,0.02,97.00%
Standard Chartered,2023,4,20.58,95.48%,2.64%,1.89%,0.1,96.28%
CITI Bank,2023,4,18.93,96.10%,3.34%,0.56%,0.07,94.85%
Andhra Pradesh Grameena Vikas Bank,2023,4,18.59,81.16%,12.74%,6.10%,0.21,14.73%
Pragathi Krishna Gramin Bank,2023,4,17.59,89.02%,10.14%,0.84%,0.21,56.54%
Maharashtra Gramin Bank,2023,4,17.58,79.86%,14.29%,5.85%,0.22,17.55%
Saraswat Bank,2023,4,17.41,94.12%,4.83%,1.05%,0.07,79.27%
ESAF Small Finance Bank Ltd,2023,4,16.0,73.35%,25.56%,1.09%,0.04,96.76%
Kerala Gramin Bank,2023,4,15.48,90.69%,8.76%,0.55%,0.06,85.07%
Rajasthan Marudhara Gramin Bank,2023,4,15.25,77.19%,17.48%,5.33%,0.22,10.80%
Andhra Pragathi Grameena Bank,2023,4,12.27,55.23%,32.09%,12.68%,0.35,6.53%
RBL,2023,4,12.05,93.08%,6.36%,0.55%,0.06,72.51%
Sarva Haryana Gramin Bank,2023,4,11.59,91.79%,7.34%,0.87%,0.11,5.09%
Baroda U.P. Bank,2023,4,11.1,85.69%,10.93%,3.38%,0.05,73.44%
Fincare Small Finance Bank,2023,4,9.21,84.10%,11.08%,4.82%,0.02,28.26%
State Bank of India,2024,4,3581.27,94.10%,5.01%,0.89%,19.18,93.66%
HDFC Bank,2024,4,1157.04,95.82%,4.08%,0.09%,4.42,98.73%
Bank of Baroda,2024,4,898.17,90.39%,8.02%,1.59%,8.48,81.39%
Union Bank of India,2024,4,837.24,93.13%,5.28%,1.59%,7.04,45.38%
Punjab National Bank,2024,4,741.9,92.96%,5.93%,1.11%,4.1,83.01%
Kotak Mahindra Bank,2024,4,725.32,91.77%,6.45%,1.78%,7.04,44.42%
Canara Bank,2024,4,642.1,93.39%,5.95%,0.66%,4.15,72.05%
Axis Bank,2024,4,609.02,95.74%,4.23%,0.03%,2.1,96.79%
ICICI Bank,2024,4,599.22,96.37%,3.55%,0.08%,2.19,91.25%
Bank of India,2024,4,439.7,93.67%,5.02%,1.31%,2.61,70.73%
Indian Bank,2024,4,407.28,93.97%,5.88%,0.15%,1.67,93.94%
Airtel Payments Bank,2024,4,395.64,90.62%,8.66%,0.72%,2.03,95.18%
India Post Payment Bank,2024,4,270.23,82.88%,15.95%,1.16%,1.9,54.96%
Federal Bank,2024,4,206.55,94.70%,5.26%,0.04%,0.71,99.58%
Central Bank of India,2024,4,200.6,85.38%,10.79%,3.83%,3.3,45.28%
Indian Overseas Bank,2024,4,187.73,93.24%,5.02%,1.74%,1.25,89.65%
UCO Bank,2024,4,171.92,93.70%,6.14%,0.16%,1.1,80.12%
Bank of Maharashtra,2024,4,151.41,93.14%,5.47%,1.39%,0.97,71.96%
IDBI Bank,2024,4,151.25,94.24%,5.24%,0.51%,1.38,46.04%
IndusInd Bank,2024,4,150.57,92.05%,7.07%,0.89%,1.03,93.86%
Fino Payments Bank,2024,4,134.12,90.89%,8.59%,0.51%,0.78,75.50%
YES Bank,2024,4,106.01,92.93%,6.53%,0.53%,0.41,76.06%
Karnataka Bank,2024,4,105.44,92.61%,6.33%,1.05%,0.62,74.86%
IDFC First Bank,2024,4,83.34,92.89%,6.98%,0.13%,0.0,0.00%
Karur Vysya Bank,2024,4,65.73,93.97%,5.82%,0.22%,0.29,83.65%
Jammu and Kashmir Bank,2024,4,58.65,94.07%,4.77%,1.16%,0.5,40.95%
Bandhan Bank,2024,4,55.96,92.46%,5.73%,1.81%,0.32,96.90%
South Indian Bank,2024,4,52.51,95.40%,4.47%,0.12%,0.16,94.38%
Tri O Tech Solutions Private Limited,2024,4,46.64,100.00%,0.00%,0.00%,0.0,0.00%
AU Small Finance Bank,2024,4,45.86,92.76%,6.19%,1.05%,0.3,83.29%
Ujjivan Small Finance Bank,2024,4,42.92,94.15%,5.62%,0.24%,0.2,96.40%
City Union Bank,2024,4,39.67,92.80%,6.91%,0.29%,0.14,95.58%
Tamilnad Mercantile Bank,2024,4,36.11,91.84%,7.57%,0.59%,0.13,87.60%
Punjab and Sind Bank,2024,4,34.51,82.94%,8.05%,9.01%,1.29,23.91%
Equitas Bank,2024,4,32.32,92.77%,7.15%,0.07%,0.15,96.09%
Andhra Pradesh Grameena Vikas Bank,2024,4,29.08,85.16%,13.06%,1.78%,0.19,77.26%
Kerala Gramin Bank,2024,4,27.5,92.37%,6.21%,1.42%,0.2,59.83%
Pragathi Krishna Gramin Bank,2024,4,26.83,88.21%,8.07%,3.72%,0.47,44%
DBS Bank,2024,4,26.42,94.37%,5.46%,0.17%,0.11,80.06%
Maharashtra Gramin Bank,2024,4,25.64,85.76%,11.70%,2.54%,0.14,60.83%
Rajasthan Marudhara Gramin Bank,2024,4,24.19,86.99%,12.02%,0.99%,0.12,80%
Standard Chartered,2024,4,24.01,96.49%,2.85%,0.66%,0.09,82.30%
Saraswat Bank,2024,4,23.34,94.90%,4.48%,0.62%,0.11,75.37%
Baroda U.P. Bank,2024,4,22.48,75.41%,9.17%,15.41%,0.78,18%
Fincare Small Finance Bank,2024,4,21.68,84.95%,14.46%,0.59%,0.13,90%
ESAF Small Finance Bank Ltd,2024,4,21.48,94.68%,4.92%,0.40%,0.1,92.16%
CITI Bank,2024,4,19.73,96.53%,3.11%,0.36%,0.08,98.72%
Sarva Haryana Gramin Bank,2024,4,18.34,91.76%,7.50%,0.74%,0.12,67.26%
Andhra Pragathi Grameena Bank,2024,4,18.19,79.51%,14.58%,5.92%,0.23,32.75%
RBL,2024,4,15.1,89.02%,10.26%,0.72%,0.0,
State Bank of India,2022,8,1793.55,91.26%,7.23%,1.51%,8.02,91.23
HDFC Bank,2022,8,594.28,93.45%,5.47%,1.07%,3.44,94.1
Bank of Baroda,2022,8,432.55,93.04%,6.82%,0.13%,1.68,98.78
Union Bank of India,2022,8,406.68,91.35%,7.55%,1.10%,1.8,69.94
ICICI Bank,2022,8,379.89,93.84%,4.53%,1.63%,1.75,84.2
Axis Bank,2022,8,339.15,92.64%,6.57%,0.79%,0.89,57.96
Paytm Payments Bank,2022,8,322.02,95.64%,4.34%,0.02%,0.82,98.68
Punjab National Bank,2022,8,305.33,92.51%,5.88%,1.61%,2.37,84.24
Canara Bank,2022,8,297.1,91.49%,7.64%,0.87%,1.47,84.29
Kotak Mahindra Bank,2022,8,286.52,92.74%,5.64%,1.61%,1.17,95.29
Bank of India,2022,8,230.16,94.17%,5.30%,0.53%,0.95,83.95
Indian Bank,2022,8,170.2,92.60%,6.32%,1.09%,0.79,85.8
Airtel Payments Bank,2022,8,118.87,85.62%,12.63%,1.75%,0.87,73.87
Central Bank of India,2022,8,113.76,81.96%,10.89%,7.15%,1.22,36.67
Federal Bank,2022,8,109.19,93.62%,6.12%,0.25%,0.41,95.97
India Post Payment Bank,2022,8,97.79,79.57%,18.50%,1.93%,0.43,65.32
YES Bank,2022,8,91.23,94.40%,5.46%,0.14%,0.0,0.0
IDBI Bank,2022,8,89.05,94.88%,4.39%,0.73%,0.47,86.25
Indian Overseas Bank,2022,8,86.15,93.59%,5.74%,0.68%,0.44,95.05
Bank of Maharashtra,2022,8,79.97,92.55%,5.41%,2.04%,0.33,62.1
UCO Bank,2022,8,75.13,92.71%,6.14%,1.15%,0.36,71.55
IndusInd Bank,2022,8,59.38,93.05%,6.75%,0.20%,0.26,96.89
Karnataka Bank,2022,8,58.99,86.01%,7.37%,6.62%,0.2,17.73
IDFC First Bank,2022,8,47.41,92.31%,5.84%,1.85%,0.19,61.57
Fino Payments Bank,2022,8,46.31,78.41%,15.59%,6.00%,0.58,66.29
Karur Vysya Bank,2022,8,38.25,90.97%,7.46%,1.57%,0.2,78.9
Bandhan Bank,2022,8,29.21,85.22%,10.95%,3.82%,0.28,80.36
South Indian Bank,2022,8,27.96,93.53%,6.09%,0.38%,0.1,96.48
Equitas Bank,2022,8,21.68,81.32%,15.91%,2.78%,0.11,57.95
City Union Bank,2022,8,20.53,91.55%,7.38%,1.06%,0.08,84.35
Ujjivan Small Finance Bank,2022,8,17.83,89.89%,7.46%,2.65%,0.09,59.23
AU Small Finance Bank,2022,8,17.57,91.98%,6.33%,1.69%,0.0,0.07
CITI Bank,2022,8,17.51,94.45%,4.32%,1.24%,0.07,92.68
Punjab and Sind Bank,2022,8,17.27,88.81%,10.33%,0.86%,0.1,76.05
Tamilnad Mercantile Bank,2022,8,17.12,88.00%,8.69%,3.31%,0.07,49.73
Standard Chartered,2022,8,16.91,95.44%,3.04%,1.52%,0.08,74.17
DBS Bank,2022,8,16.88,95.16%,4.68%,0.15%,0.06,95.79
Jammu and Kashmir Bank,2022,8,16.21,88.51%,7.03%,4.46%,0.09,70.55
Pragathi Krishna Gramin Bank,2022,8,14.98,85.97%,11.15%,2.88%,0.11,58.44
Andhra Pradesh Grameena Vikas Bank,2022,8,14.67,72.50%,17.13%,10.37%,0.06,10.92
Maharashtra Gramin Bank,2022,8,14.43,71.27%,17.87%,10.86%,0.05,15.1
Saraswat Bank,2022,8,13.33,95.67%,3.85%,0.48%,0.05,91.43
ESAF Small Finance Bank Ltd,2022,8,10.54,83.48%,14.05%,2.48%,0.05,63.49
Rajasthan Marudhara Gramin Bank,2022,8,10.48,79.27%,13.28%,7.44%,0.04,16.22
Kerala Gramin Bank,2022,8,10.22,87.57%,11.15%,1.27%,0.04,69.83
Andhra Pragathi Grameena Bank,2022,8,9.05,79.41%,15.55%,5.04%,0.14,81.74
Sarva Haryana Gramin Bank,2022,8,8.89,86.62%,10.36%,3.02%,0.09,75.88
RBL,2022,8,8.63,89.57%,8.10%,2.33%,0.06,82.08
Baroda Rajasthan Kshetriya Gramin Bank,2022,8,7.52,79.06%,7.83%,13.11%,0.06,24.06
Baroda U.P. Bank,2022,8,7.19,74.76%,10.31%,14.94%,0.07,23.36
State Bank of India,2023,8,2707.09,95.05%,4.22%,0.73%,12.89,93.00%
HDFC Bank,2023,8,933.63,95.83%,4.03%,0.15%,2.83,94.00%
Bank of Baroda,2023,8,695.99,93.18%,5.19%,1.63%,2.49,80.00%
Union Bank of India,2023,8,662.03,94.81%,4.20%,1.00%,3.42,64.00%
Punjab National Bank,2023,8,518.59,94.33%,4.52%,1.15%,2.54,88.00%
ICICI Bank,2023,8,508.79,96.20%,3.10%,0.71%,2.13,85.00%
Kotak Mahindra Bank,2023,8,498.97,94.82%,5.13%,0.05%,1.25,85.00%
Axis Bank,2023,8,490.64,96.24%,3.56%,0.20%,1.56,61.00%
Canara Bank,2023,8,487.59,94.49%,4.98%,0.53%,1.89,84.00%
Paytm Payments Bank,2023,8,455.52,96.43%,3.54%,0.02%,0.54,98.00%
Bank of India,2023,8,344.29,95.67%,3.89%,0.45%,1.16,81.00%
Indian Bank,2023,8,291.98,95.21%,4.45%,0.33%,0.94,76.00%
Airtel Payments Bank,2023,8,248.48,90.47%,8.74%,0.79%,0.86,1.00%
India Post Payment Bank,2023,8,194.45,85.69%,11.86%,2.46%,0.82,71.00%
Federal Bank,2023,8,166.08,95.08%,4.52%,0.39%,0.41,85.00%
Central Bank of India,2023,8,162.66,88.74%,9.13%,2.13%,1.96,76.00%
Indian Overseas Bank,2023,8,139.0,93.84%,4.49%,1.67%,0.89,83.00%
UCO Bank,2023,8,130.7,94.20%,4.91%,0.88%,0.75,47.00%
IDBI Bank,2023,8,125.88,94.14%,3.70%,2.16%,0.72,79.00%
Bank of Maharashtra,2023,8,116.36,94.33%,5.13%,0.54%,0.37,79.00%
IndusInd Bank,2023,8,103.58,91.60%,5.32%,3.08%,1.0,41.00%
Fino Payments Bank,2023,8,94.61,84.39%,14.35%,1.26%,0.34,72.00%
YES Bank,2023,8,86.57,95.43%,4.43%,0.14%,0.19,75.00%
Karnataka Bank,2023,8,84.56,93.78%,5.37%,0.86%,0.18,82.00%
IDFC First Bank,2023,8,64.37,93.77%,5.51%,0.71%,0.3,50.00%
Karur Vysya Bank,2023,8,52.31,93.73%,6.02%,0.25%,0.13,83.00%
South Indian Bank,2023,8,43.92,96.05%,3.94%,0.02%,0.07,97.00%
Bandhan Bank,2023,8,42.73,94.35%,4.70%,0.96%,0.23,61.00%
Jammu and Kashmir Bank,2023,8,35.95,92.35%,5.88%,1.77%,0.21,1.00%
City Union Bank,2023,8,31.4,93.30%,6.15%,0.54%,0.12,81.00%
AU Small Finance Bank,2023,8,31.04,95.27%,4.69%,0.04%,0.09,97.00%
Ujjivan Small Finance Bank,2023,8,31.03,93.60%,5.73%,0.67%,0.14,56.00%
Punjab and Sind Bank,2023,8,27.25,88.89%,6.64%,4.48%,0.36,36.00%
Tamilnad Mercantile Bank,2023,8,27.1,94.32%,5.38%,0.29%,0.05,88.00%
Equitas Bank,2023,8,26.39,91.08%,8.55%,0.37%,0.07,97.00%
Standard Chartered,2023,8,25.8,96.46%,2.13%,1.41%,0.1,56.00%
DBS Bank,2023,8,23.99,95.34%,4.09%,0.57%,0.08,64.00%
Andhra Pradesh Grameena Vikas Bank,2023,8,21.67,85.93%,11.66%,2.40%,0.11,57.00%
Kerala Gramin Bank,2023,8,21.45,87.49%,7.82%,4.70%,0.35,36.00%
Pragathi Krishna Gramin Bank,2023,8,20.54,88.05%,10.31%,1.63%,0.13,71.00%
Tri O Tech Solutions Private Limited,2023,8,20.27,100.00%,0.00%,0.00%,0.0,
Maharashtra Gramin Bank,2023,8,19.77,84.80%,12.66%,2.54%,0.05,77.00%
CITI Bank,2023,8,19.62,96.15%,3.31%,0.53%,0.07,98.00%
Saraswat Bank,2023,8,19.25,96.12%,3.05%,0.83%,0.07,72.00%
Rajasthan Marudhara Gramin Bank,2023,8,17.16,85.32%,11.34%,3.33%,0.1,46%
ESAF Small Finance Bank Ltd,2023,8,16.63,92.99%,5.08%,1.93%,0.07,64.00%
Baroda U.P. Bank,2023,8,15.76,74.78%,10.85%,14.36%,0.54,33.00%
RBL,2023,8,13.67,87.20%,9.24%,3.56%,0.13,69.00%
Fincare Small Finance Bank,2023,8,13.25,86.13%,11.59%,2.28%,0.11,45.00%
Sarva Haryana Gramin Bank,2023,8,12.81,90.66%,6.73%,2.61%,0.11,36.00%
State Bank of India,2024,8,4052.31,94.40%,5.39%,0.21%,11.86,98.58%
HDFC Bank,2024,8,1270.59,95.28%,4.66%,0.06%,3.61,99.34%
Bank of Baroda,2024,8,985.86,92.45%,6.95%,0.60%,3.26,95.42%
Union Bank of India,2024,8,941.93,93.51%,5.83%,0.65%,3.91,68.43%
Punjab National Bank,2024,8,835.0,91.99%,7.92%,0.09%,2.96,95.13%
Kotak Mahindra Bank,2024,8,772.93,92.43%,7.48%,0.09%,2.03,93.51%
Axis Bank,2024,8,730.47,95.47%,4.53%,0.00%,1.67,98.74%
Canara Bank,2024,8,722.42,93.11%,6.11%,0.78%,3.27,85.39%
ICICI Bank,2024,8,648.75,96.15%,3.76%,0.09%,1.37,96.47%
Bank of India,2024,8,478.26,93.86%,5.61%,0.53%,2.07,74.34%
Indian Bank,2024,8,462.16,94.02%,5.92%,0.06%,1.36,95.17%
Airtel Payments Bank,2024,8,437.93,90.01%,9.84%,0.15%,1.81,97.33%
India Post Payment Bank,2024,8,349.66,88.27%,10.99%,0.74%,1.73,91.01%
Federal Bank,2024,8,221.37,94.22%,5.75%,0.03%,0.59,99.43%
Central Bank of India,2024,8,218.28,88.36%,11.05%,0.59%,1.08,81.74%
Indian Overseas Bank,2024,8,217.93,92.44%,5.92%,1.64%,1.05,90.49%
UCO Bank,2024,8,200.84,92.29%,7.59%,0.12%,0.77,89.65%
IDBI Bank,2024,8,166.58,94.17%,5.57%,0.26%,0.75,91.64%
IndusInd Bank,2024,8,165.7,91.49%,8.34%,0.17%,0.67,98.15%
Bank of Maharashtra,2024,8,163.62,93.33%,6.41%,0.25%,0.53,84.69%
Fino Payments Bank,2024,8,151.38,92.78%,6.83%,0.39%,0.88,73.49%
YES Bank,2024,8,126.41,93.91%,5.87%,0.23%,0.33,72.31%
Karnataka Bank,2024,8,117.67,92.78%,7.01%,0.21%,0.39,81.20%
IDFC First Bank,2024,8,89.97,93.64%,6.13%,0.23%,0.38,61.58%
Karur Vysya Bank,2024,8,74.18,92.49%,6.22%,1.30%,0.42,74.66%
AU Small Finance Bank,2024,8,69.4,91.26%,8.72%,0.02%,0.16,97.18%
The Jammu And Kashmir Bank,2024,8,69.35,92.93%,5.02%,2.06%,0.84,31.42%
Bandhan Bank,2024,8,66.15,93.24%,5.73%,1.03%,0.29,90.93%
The South Indian Bank Limited,2024,8,60.3,95.07%,4.88%,0.05%,0.15,97.96%
Tri O Tech Solutions Private Limited,2024,8,57.12,100.00%,0.00%,0.00%,,
Ujjivan Small Finance Bank,2024,8,45.73,94.25%,5.32%,0.42%,0.17,90.37%
City Union Bank,2024,8,44.59,92.78%,6.73%,0.49%,0.14,96.77%
Punjab and Sind Bank,2024,8,42.38,92.12%,7.39%,0.49%,0.24,81.24%
Tamilnad Mercantile Bank,2024,8,41.5,91.74%,7.81%,0.46%,0.14,77.29%
Kerala Gramin Bank,2024,8,34.73,90.77%,6.37%,2.87%,0.39,70.78%
Equitas Bank,2024,8,32.89,92.09%,7.25%,0.66%,0.12,93.25%
Karnataka Gramin Bank,2024,8,30.19,84.79%,7.38%,7.83%,0.84,50.55%
Andhra Pradesh Grameena Vikas Bank,2024,8,28.61,86.25%,12.84%,0.91%,0.1,76%
DBS Bank,2024,8,28.32,93.80%,6.18%,0.03%,0.08,99.45%
Standard Chartered,2024,8,26.22,97.09%,2.89%,0.03%,0.06,93.72%
ESAF Small Finance Bank Ltd,2024,8,25.47,95.08%,4.72%,0.21%,0.09,91%
Saraswat Bank,2024,8,25.08,95.11%,4.76%,0.13%,0.07,91.58%
Maharashtra Gramin Bank,2024,8,24.99,86.37%,12.27%,1.35%,0.09,84.89%
Baroda U.P. Bank,2024,8,24.96,88.53%,8.79%,2.68%,0.25,40%
Rajasthan Marudhara Gramin Bank,2024,8,23.83,86.87%,10.55%,2.58%,0.2,57%
Sarva Haryana Gramin Bank,2024,8,20.33,87.70%,6.60%,5.70%,0.33,52.55%
Jio Payments Bank,2024,8,20.1,82.02%,15.04%,2.94%,0.23,89.82%
RBL,2024,8,18.51,90.75%,8.85%,0.40%,0.07,67.86%
NSDL Payments Bank,2024,8,18.11,84.73%,11.81%,3.47%,0.27,17.10%
Andhra Pragathi Grameena Bank,2024,8,17.78,85.45%,12.94%,1.61%,0.09,61.42%
State Bank of India,2022,12,2128.94,91.25%,6.30%,2.45%,14.35,95.90%
HDFC Bank,2022,12,700.19,94.08%,5.23%,0.69%,4.32,92.33%
Bank of Baroda,2022,12,509.92,88.84%,6.30%,4.86%,5.54,72.57%
Union Bank of India,2022,12,487.38,91.84%,7.01%,1.15%,3.59,69.01%
ICICI Bank,2022,12,426.32,95.23%,3.60%,1.17%,3.11,65.75%
Axis Bank,2022,12,397.64,95.47%,4.24%,0.29%,1.93,85.19%
Paytm Payments Bank,2022,12,386.5,95.96%,3.89%,0.15%,1.94,72.44%
Canara Bank,2022,12,361.0,92.66%,6.85%,0.49%,2.62,93.23%
Punjab National Bank,2022,12,354.8,93.44%,5.53%,1.03%,1.32,92.35%
Kotak Mahindra Bank,2022,12,351.8,93.90%,4.83%,1.27%,1.24,80.49%
Bank of India,2022,12,268.67,94.98%,4.81%,0.20%,1.57,73.26%
Indian Bank,2022,12,206.07,93.35%,5.78%,0.88%,0.89,97.07%
Airtel Payments Bank,2022,12,154.16,84.90%,14.55%,0.56%,2.89,55.90%
India Post Payment Bank,2022,12,147.96,69.58%,17.68%,12.74%,1.21,77.04%
Federal Bank,2022,12,131.59,93.45%,6.49%,0.06%,1.06,81.40%
Central Bank of India,2022,12,128.39,88.58%,9.87%,1.55%,0.57,99.15%
Indian Overseas Bank,2022,12,104.59,90.82%,5.56%,3.62%,0.85,85.16%
IDBI Bank,2022,12,102.97,94.47%,4.14%,1.38%,0.62,82.76%
Bank of Maharashtra,2022,12,93.22,92.99%,4.78%,2.23%,0.76,53.95%
UCO Bank,2022,12,89.57,93.20%,6.10%,0.70%,0.47,80.82%
IndusInd Bank,2022,12,72.7,92.84%,6.17%,0.99%,0.53,69.75%
