Sr.No.,UPI Beneficiary Banks,Year,Month,Total Volume (In Mn),Approved %,BD %	,	TD%,Deemed Approved %,Column 8
36,Pragathi Krishna Gramin Bank,2022,4,7.73,98.55%,0.26%,0.36%,0.82%,
37,Andhra Pradesh Grameena Vikas Bank,2022,4,7.2,97.41%,0.18%,1.71%,0.70%,
38,Punjab and Sind Bank,2022,4,6.93,98.72%,0.34%,0.67%,0.27%,
39,Maharashtra Gramin Bank,2022,4,6.41,95.37%,0.36%,3.58%,0.69%,
40,Kerala Gramin Bank,2022,4,5.6,99.38%,0.29%,0.12%,0.21%,
41,Jammu and Kashmir Bank,2022,4,5.59,95.20%,1.69%,2.93%,0.19%,
42,Saraswat Bank,2022,4,5.46,99.13%,0.21%,0.59%,0.07%,
43,RBL,2022,4,5.02,95.21%,4.28%,0.34%,0.17%,
44,Andhra Pragathi Grameena Bank,2022,4,4.83,90.92%,0.45%,6.09%,2.53%,
45,ESAF Small Finance Bank Ltd,2022,4,4.82,98.90%,0.28%,0.78%,0.03%,
46,Rajasthan Marudhara Gramin Bank,2022,4,4.72,86.28%,3.02%,7.54%,3.16%,
47,Sarva Haryana Gramin Bank,2022,4,4.16,86.06%,0.44%,11.97%,1.53%,
48,Baroda U.P. Bank,2022,4,4.03,81.43%,7.14%,11.20%,0.23%,
49,Baroda Rajasthan Kshetriya Gramin Bank,2022,4,3.73,94.38%,2.20%,3.09%,0.34%,
50,Karnataka Vikas Grameena Bank,2022,4,3.55,92.76%,2.54%,3.87%,0.83%,
1,Paytm Payments Bank,2023,4,1973.67,99.73%,0.23%,0.04%,0.00%,
2,YES Bank,2023,4,1914.76,99.98%,0.03%,0.04%,0.01%,
3,State Bank of India,2023,4,966.28,98.07%,0.21%,1.48%,0.23%,
4,Axis Bank,2023,4,636.48,99.87%,0.09%,0.01%,0.03%,
5,ICICI Bank,2023,4,590.66,99.57%,0.24%,0.10%,0.08%,
6,HDFC Bank,2023,4,443.16,99.23%,0.50%,0.23%,0.04%,
7,Bank of Baroda,2023,4,269.46,99.50%,0.14%,0.16%,0.19%,
8,Union Bank of India,2023,4,260.41,99.04%,0.16%,0.74%,0.06%,
9,Punjab National Bank,2023,4,203.59,99.04%,0.34%,0.39%,0.24%,
10,Federal Bank,2023,4,202.49,99.70%,0.21%,0.05%,0.05%,
11,Canara Bank,2023,4,202.15,99.14%,0.11%,0.30%,0.45%,
12,Kotak Mahindra Bank,2023,4,198.71,97.46%,0.39%,1.65%,0.49%,
13,Bank of India,2023,4,147.23,99.25%,0.23%,0.48%,0.04%,
14,Indian Bank,2023,4,119.18,99.18%,0.18%,0.41%,0.22%,
15,Airtel Payments Bank,2023,4,113.09,99.23%,0.39%,0.17%,0.21%,
16,IndusInd Bank,2023,4,85.37,99.20%,0.20%,0.46%,0.14%,
17,Central Bank of India,2023,4,71.27,98.29%,0.58%,0.69%,0.44%,
18,India Post Payment Bank,2023,4,67.58,92.60%,0.94%,6.26%,0.20%,
19,Indian Overseas Bank,2023,4,57.66,97.84%,0.75%,1.34%,0.07%,
20,UCO Bank,2023,4,52.37,98.25%,0.69%,0.77%,0.30%,
21,IDBI Bank,2023,4,51.34,98.23%,0.38%,1.35%,0.04%,
22,IDFC First Bank,2023,4,44.42,97.52%,0.93%,1.01%,0.54%,
23,Bank of Maharashtra,2023,4,42.01,96.54%,0.21%,2.95%,0.30%,
24,Karnataka Bank,2023,4,33.81,96.15%,0.69%,2.13%,1.02%,
25,Karur Vysya Bank,2023,4,26.37,99.28%,0.42%,0.26%,0.04%,
26,RBL,2023,4,35.25,99.65%,0.60%,0.23%,0.09%,
27,Fino Payments Bank,2023,4,25.5,97.00%,0.84%,1.99%,0.18%,
28,South Indian Bank,2023,4,24.07,99.54%,0.20%,0.19%,0.06%,
29,Bandhan Bank,2023,4,23.65,93.77%,0.33%,5.76%,0.14%,
30,AU Small Finance Bank,2023,4,18.18,98.39%,1.34%,0.08%,0.19%,
31,City Union Bank,2023,4,14.52,98.36%,1.08%,0.49%,0.07%,
32,Tamilnad Mercantile Bank,2023,4,14.05,99.17%,0.26%,0.29%,0.29%,
33,Ujjivan Small Finance Bank,2023,4,13.58,98.55%,0.29%,0.33%,0.83%,
34,CITI Bank,2023,4,12.49,99.31%,0.00%,0.34%,0.34%,
35,Equitas Bank,2023,4,11.69,97.49%,1.98%,0.40%,0.13%,
36,Jammu and Kashmir Bank,2023,4,11.47,94.25%,0.43%,5.24%,0.08%,
37,Punjab and Sind Bank,2023,4,10.98,87.57%,0.17%,12.19%,0.07%,
38,Pragathi Krishna Gramin Bank,2023,4,9.78,98.38%,0.27%,0.29%,1.07%,
39,Kerala Gramin Bank,2023,4,9.29,99.03%,0.20%,0.20%,0.57%,
40,Andhra Pradesh Grameena Vikas Bank,2023,4,9.21,95.46%,0.91%,2.61%,1.01%,
41,DBS Bank,2023,4,9.13,97.78%,1.26%,0.49%,0.47%,
42,Cosmos Bank,2023,4,8.23,98.97%,0.27%,0.44%,0.32%,
43,Maharashtra Gramin Bank,2023,4,8.21,96.55%,0.65%,2.61%,0.18%,
44,ESAF Small Finance Bank Ltd,2023,4,7.27,99.05%,0.12%,0.77%,0.06%,
45,Baroda U.P. Bank,2023,4,7.15,95.43%,2.29%,2.06%,0.23%,
46,Rajasthan Marudhara Gramin Bank,2023,4,7.13,96.52%,0.31%,2.06%,1.12%,
47,Saraswat Bank,2023,4,6.39,98.39%,0.21%,1.29%,0.10%,
48,Andhra Pragathi Grameena Bank,2023,4,5.96,86.81%,0.34%,10.61%,2.24%,
49,Sarva Haryana Gramin Bank,2023,4,5.53,96.49%,0.47%,0.79%,2.25%,
50,Baroda Rajasthan Kshetriya Gramin Bank,2023,4,4.81,94.55%,2.61%,1.17%,1.67%,
1,YES Bank,2024,4,5076.4,99.97%,0.02%,0.01%,0.00%,
2,State Bank of India,2024,4,1512.29,99.01%,0.11%,0.89%,0.18%,
3,Axis Bank,2024,4,1248.35,99.92%,0.08%,0.00%,0.04%,
4,HDFC Bank,2024,4,625.05,98.74%,1.19%,0.07%,0.02%,
5,ICICI Bank,2024,4,606.73,99.58%,0.40%,0.02%,0.02%,
6,Bank of Baroda,2024,4,376.04,98.51%,1.01%,0.49%,0.31%,
7,Federal Bank,2024,4,373.7,99.74%,0.23%,0.03%,0.00%,
8,Union Bank of India,2024,4,346.48,97.99%,0.13%,1.88%,0.44%,
9,Punjab National Bank,2024,4,311.53,98.62%,0.39%,0.99%,0.20%,
10,Canara Bank,2024,4,297.27,98.17%,1.24%,0.59%,0.21%,
11,Kotak Mahindra Bank,2024,4,283.22,97.82%,1.13%,1.05%,0.33%,
12,Airtel Payments Bank,2024,4,253.57,99.19%,0.23%,0.58%,0.12%,
13,Indian Bank,2024,4,220.9,98.97%,0.91%,0.11%,0.13%,
14,Bank of India,2024,4,197.52,98.76%,0.40%,0.84%,0.16%,
15,IndusInd Bank,2024,4,124.15,98.54%,0.83%,0.64%,0.10%,
16,India Post Payment Bank,2024,4,111.72,98.04%,1.30%,0.65%,0.31%,
17,Central Bank of India,2024,4,92.14,97.91%,0.36%,1.73%,0.52%,
18,Indian Overseas Bank,2024,4,87.08,98.24%,0.45%,1.31%,0.35%,
19,UCO Bank,2024,4,84.09,98.49%,0.70%,0.81%,0.09%,
20,Fino Payments Bank,2024,4,65.46,96.15%,3.18%,0.66%,0.07%,
21,IDBI Bank,2024,4,65.04,98.63%,0.44%,0.93%,0.51%,
22,Bank of Maharashtra,2024,4,60.58,98.65%,0.19%,1.16%,0.20%,
23,RBL,2024,4,52.02,97.84%,2.01%,0.15%,0.07%,
24,Karnataka Bank,2024,4,46.09,97.89%,1.23%,0.88%,0.09%,
25,IDFC First Bank,2024,4,35.26,98.60%,1.28%,0.11%,0.04%,
26,Karur Vysya Bank,2024,4,34.16,98.29%,1.19%,0.52%,0.08%,
27,Bandhan Bank,2024,4,33.71,97.87%,0.28%,1.85%,0.07%,
28,South Indian Bank,2024,4,32.2,98.40%,1.49%,0.11%,0.02%,
29,AU Small Finance Bank,2024,4,28.54,96.21%,3.06%,0.73%,0.13%,
30,Jammu and Kashmir Bank,2024,4,27.28,99.07%,0.66%,0.28%,0.28%,
31,Tamilnad Mercantile Bank,2024,4,23.83,99.39%,0.10%,0.51%,0.03%,
32,Tri O Tech Solutions Private Limited,2024,4,23.07,95.36%,4.50%,0.15%,0.02%,
33,Ujjivan Small Finance Bank,2024,4,21.39,98.93%,0.92%,0.15%,0.11%,
34,City Union Bank,2024,4,20.6,97.95%,1.82%,0.24%,0.02%,
35,Kerala Gramin Bank,2024,4,14.82,98.92%,0.30%,0.77%,0.54%,
36,Punjab and Sind Bank,2024,4,14.56,92.73%,0.79%,6.48%,2.90%,
37,Equitas Bank,2024,4,14.05,98.23%,1.50%,0.27%,0.02%,
38,Andhra Pradesh Grameena Vikas Bank,2024,4,13.65,98.85%,0.56%,0.59%,0.08%,
39,Pragathi Krishna Gramin Bank,2024,4,13.14,97.54%,0.40%,2.07%,1.21%,
40,Jio Payments Bank,2024,4,13.01,98.77%,0.37%,0.86%,0.47%,
41,Maharashtra Gramin Bank,2024,4,11.84,97.53%,0.33%,2.14%,0.29%,
42,DBS Bank,2024,4,11.43,97.26%,1.79%,0.95%,0.08%,
43,Rajasthan Marudhara Gramin Bank,2024,4,11.34,99.43%,0.38%,0.19%,0.04%,
44,Baroda U.P. Bank,2024,4,11.01,88.10%,0.65%,11.26%,2.49%,
45,Fincare Small Finance Bank,2024,4,10.5,96.19%,3.29%,0.53%,0.05%,
46,ESAF Small Finance Bank Ltd,2024,4,10.43,99.68%,0.13%,0.19%,0.11%,
47,CITI Bank,2024,4,9.88,99.81%,0.00%,0.19%,0.24%,
48,Andhra Pragathi Grameena Bank,2024,4,9.29,95.43%,1.17%,3.40%,0.12%,
49,Sarva Haryana Gramin Bank,2024,4,7.88,99.00%,0.38%,0.62%,0.16%,
50,Saraswat Bank,2024,4,7.64,96.99%,2.39%,0.62%,0.14%,
1,Paytm Payments Bank,2022,8,1504.63,99.79%,0.21%,0.00%,0.00%,
2,YES Bank,2022,8,947.28,99.94%,0.03%,0.01%,0.01%,
3,State Bank of India,2022,8,818.72,98.99%,0.27%,0.73%,0.24%,
4,Axis Bank,2022,8,489.54,98.29%,1.14%,0.57%,0.31%,
5,ICICI Bank,2022,8,456.96,99.52%,0.37%,0.11%,0.26%,
6,HDFC Bank,2022,8,339.5,98.79%,0.65%,0.57%,0.16%,
7,Bank of Baroda,2022,8,221.98,99.63%,0.32%,0.05%,0.06%,
8,Union Bank of India,2022,8,212.56,98.96%,0.29%,0.74%,0.13%,
9,Canara Bank,2022,8,160.51,99.06%,0.45%,0.49%,0.19%,
10,Punjab National Bank,2022,8,155.25,98.42%,0.47%,1.11%,0.29%,
11,Federal Bank,2022,8,152.1,99.63%,0.25%,0.11%,0.01%,
12,Kotak Mahindra Bank,2022,8,138.54,98.63%,0.58%,0.79%,0.54%,
13,Bank of India,2022,8,124.89,99.37%,0.27%,0.36%,0.08%,
14,Airtel Payments Bank,2022,8,89.48,98.57%,0.40%,1.03%,0.43%,
15,Indian Bank,2022,8,86.3,99.16%,0.21%,0.63%,0.34%,
16,IndusInd Bank,2022,8,68.81,99.39%,0.48%,0.13%,0.09%,
17,Central Bank of India,2022,8,57.79,95.01%,0.86%,4.13%,1.19%,
18,IDBI Bank,2022,8,47.98,99.05%,0.51%,0.43%,0.15%,
19,Indian Overseas Bank,2022,8,46.79,99.57%,0.27%,0.16%,0.19%,
20,India Post Payment Bank,2022,8,45.06,98.37%,0.63%,1.00%,0.14%,
21,UCO Bank,2022,8,41.37,98.32%,0.74%,0.94%,0.15%,
22,Bank of Maharashtra,2022,8,38.12,97.96%,0.28%,1.77%,0.44%,
23,IDFC First Bank,2022,8,33.5,95.57%,2.80%,1.64%,0.21%,
24,Karnataka Bank,2022,8,29.14,95.43%,0.59%,3.98%,1.35%,
25,Karur Vysya Bank,2022,8,24.55,98.63%,0.31%,1.05%,0.16%,
26,South Indian Bank,2022,8,19.29,99.24%,0.54%,0.22%,0.02%,
27,Bandhan Bank,2022,8,19.07,94.23%,0.43%,5.34%,0.35%,
28,Fino Payments Bank,2022,8,17.03,93.55%,2.52%,3.93%,0.89%,
29,AU Small Finance Bank,2022,8,15.1,97.77%,1.33%,0.90%,0.56%,
30,CITI Bank,2022,8,2.46,96.92%,1.98%,1.10%,0.21%,
31,City Union Bank,2022,8,12.26,98.64%,0.68%,0.68%,0.11%,
32,Tamilnad Mercantile Bank,2022,8,11.07,96.60%,0.57%,2.83%,0.29%,
33,Equitas Bank,2022,8,10.53,95.66%,2.06%,2.28%,0.29%,
34,Ujjivan Small Finance Bank,2022,8,10.29,97.46%,0.30%,2.24%,0.27%,
35,Pragathi Krishna Gramin Bank,2022,8,8.71,98.31%,0.39%,1.30%,0.63%,
36,Punjab and Sind Bank,2022,8,8.67,98.91%,0.24%,0.84%,0.18%,
37,Andhra Pradesh Grameena Vikas Bank,2022,8,7.38,90.54%,4.60%,4.87%,2.64%,
38,Jammu and Kashmir Bank,2022,8,7.09,95.67%,0.73%,3.60%,0.17%,
39,Maharashtra Gramin Bank,2022,8,6.93,91.76%,1.52%,6.72%,1.56%,
40,Kerala Gramin Bank,2022,8,6.83,98.79%,0.63%,0.58%,0.31%,
41,DBS Bank,2022,8,6.76,98.00%,1.90%,0.10%,0.04%,
42,ESAF Small Finance Bank Ltd,2022,8,5.98,98.52%,0.20%,1.28%,0.21%,
43,Saraswat Bank,2022,8,5.88,99.37%,0.20%,0.43%,0.03%,
44,Rajasthan Marudhara Gramin Bank,2022,8,5.76,95.79%,0.69%,3.52%,0.81%,
45,RBL,2022,8,5.52,97.38%,1.46%,1.16%,0.16%,
46,Andhra Pragathi Grameena Bank,2022,8,5.2,96.80%,0.16%,3.03%,1.23%,
47,Baroda U.P. Bank,2022,8,5.19,85.92%,2.28%,11.80%,2.72%,
48,Sarva Haryana Gramin Bank,2022,8,4.99,86.36%,0.49%,13.16%,0.12%,
49,Baroda Rajasthan Kshetriya Gramin Bank,2022,8,4.5,88.20%,1.85%,9.95%,1.88%,
50,Karnataka Vikas Grameena Bank,2022,8,3.74,98.10%,0.21%,1.69%,0.85%,
1,Paytm Payments Bank,2023,8,2505.7,99.82%,0.13%,0.05%,0.00%,
2,YES Bank,2023,8,1789.49,99.91%,0.02%,0.07%,0.01%,
3,State Bank of India,2023,8,1114.59,99.09%,0.18%,0.73%,0.25%,
4,Axis Bank,2023,8,733.96,99.81%,0.13%,0.06%,0.07%,
5,ICICI Bank,2023,8,630.09,99.33%,0.31%,0.36%,0.16%,
6,HDFC Bank,2023,8,530.64,99.33%,0.59%,0.08%,0.07%,
7,Bank of Baroda,2023,8,308.67,98.24%,0.17%,1.59%,0.17%,
8,Union Bank of India,2023,8,295.91,99.30%,0.16%,0.54%,0.21%,
9,Federal Bank,2023,8,246.28,99.62%,0.25%,0.13%,0.01%,
10,Punjab National Bank,2023,8,234.84,98.38%,0.46%,1.16%,0.23%,
11,Canara Bank,2023,8,235.33,99.22%,0.42%,0.36%,0.15%,
12,Kotak Mahindra Bank,2023,8,215.21,99.53%,0.43%,0.03%,0.03%,
13,Bank of India,2023,8,164.1,99.36%,0.26%,0.38%,0.10%,
14,Indian Bank,2023,8,162.0,99.51%,0.42%,0.07%,0.09%,
15,Airtel Payments Bank,2023,8,135.79,99.00%,0.40%,0.60%,0.24%,
16,IndusInd Bank,2023,8,102.79,97.34%,0.21%,2.45%,0.67%,
17,India Post Payment Bank,2023,8,85.7,98.52%,0.43%,1.05%,0.29%,
18,Central Bank of India,2023,8,80.15,98.45%,0.58%,0.96%,0.50%,
19,Indian Overseas Bank,2023,8,66.68,98.56%,0.34%,1.10%,0.48%,
20,UCO Bank,2023,8,61.82,98.75%,0.77%,0.49%,0.11%,
21,IDBI Bank,2023,8,57.26,97.73%,0.43%,1.84%,0.23%,
22,Bank of Maharashtra,2023,8,46.19,99.26%,0.23%,0.51%,0.14%,
23,Fino Payments Bank,2023,8,47.49,97.86%,1.27%,0.87%,0.07%,
24,Karnataka Bank,2023,8,37.71,98.54%,0.56%,0.90%,0.04%,
25,IDFC First Bank,2023,8,54.42,98.71%,0.70%,0.59%,0.22%,
26,Karur Vysya Bank,2023,8,29.53,99.38%,0.40%,0.22%,0.08%,
27,South Indian Bank,2023,8,27.99,99.71%,0.22%,0.07%,0.01%,
28,Bandhan Bank,2023,8,26.0,98.68%,0.10%,1.22%,0.18%,
29,AU Small Finance Bank,2023,8,21.75,98.71%,1.20%,0.08%,0.02%,
30,Tamilnad Mercantile Bank,2023,8,17.43,99.52%,0.19%,0.29%,0.01%,
31,City Union Bank,2023,8,16.91,98.87%,0.77%,0.36%,0.08%,
32,RBL,2023,8,26.86,98.41%,0.39%,1.20%,0.25%,
33,Ujjivan Small Finance Bank,2023,8,16.59,99.16%,0.31%,0.53%,0.21%,
34,Jammu and Kashmir Bank,2023,8,16.76,98.56%,0.33%,1.11%,0.16%,
35,Equitas Bank,2023,8,12.42,97.48%,2.08%,0.45%,0.01%,
36,Punjab and Sind Bank,2023,8,12.65,96.48%,0.18%,3.33%,0.67%,
37,Kerala Gramin Bank,2023,8,12.41,96.61%,0.20%,3.19%,1.41%,
38,Pragathi Krishna Gramin Bank,2023,8,10.9,99.04%,0.34%,0.61%,0.47%,
39,CITI Bank,2023,8,10.05,99.83%,0.00%,0.17%,0.13%,
40,Andhra Pradesh Grameena Vikas Bank,2023,8,10.26,98.47%,0.62%,0.91%,0.11%,
41,DBS Bank,2023,8,9.69,98.22%,1.22%,0.56%,0.29%,
42,Maharashtra Gramin Bank,2023,8,9.26,98.64%,0.27%,1.09%,0.17%,
43,Tri O Tech Solutions Private Limited,2023,8,9.92,93.95%,5.82%,0.23%,0.06%,
44,Rajasthan Marudhara Gramin Bank,2023,8,8.71,97.80%,0.50%,1.70%,0.21%,
45,Baroda U.P. Bank,2023,8,9.26,88.47%,0.81%,10.73%,2.73%,
46,ESAF Small Finance Bank Ltd,2023,8,8.84,98.73%,0.03%,1.24%,0.39%,
47,Andhra Pragathi Grameena Bank,2023,8,6.49,97.89%,0.36%,1.74%,0.03%,
48,Saraswat Bank,2023,8,7.12,99.11%,0.20%,0.69%,0.18%,
49,Sarva Haryana Gramin Bank,2023,8,5.95,97.17%,0.48%,2.34%,0.38%,
50,Baroda Rajasthan Kshetriya Gramin Bank,2023,8,5.64,95.32%,2.63%,2.05%,0.53%,
1,YES Bank,2024,8,6021.0,99.99%,0.01%,0.00%,0.00%,
2,State Bank of India,2024,8,1562.83,99.73%,0.11%,0.15%,0.03%,
3,Axis Bank,2024,8,1437.88,99.93%,0.07%,0.00%,0.01%,
4,HDFC Bank,2024,8,729.74,99.09%,0.86%,0.05%,0.03%,
5,ICICI Bank,2024,8,605.83,99.30%,0.64%,0.06%,0.02%,
6,Bank of Baroda,2024,8,430.6,99.55%,0.10%,0.35%,0.19%,
7,Federal Bank,2024,8,411.62,99.75%,0.24%,0.01%,0.00%,
8,Union Bank of India,2024,8,379.29,99.45%,0.11%,0.43%,0.09%,
9,Canara Bank,2024,8,364.14,98.59%,0.79%,0.62%,0.13%,
10,Punjab National Bank,2024,8,336.13,99.70%,0.29%,0.02%,0.07%,
11,Kotak Mahindra Bank,2024,8,292.43,99.62%,0.28%,0.10%,0.07%,
12,Airtel Payments Bank,2024,8,285.48,99.61%,0.30%,0.09%,0.03%,
13,Indian Bank,2024,8,235.76,99.00%,0.94%,0.07%,0.08%,
14,Bank of India,2024,8,207.96,98.71%,0.84%,0.45%,0.17%,
15,India Post Payment Bank,2024,8,156.65,99.15%,0.30%,0.55%,0.04%,
16,IndusInd Bank,2024,8,146.14,99.30%,0.42%,0.28%,0.11%,
17,Central Bank of India,2024,8,109.19,96.05%,3.66%,0.28%,0.21%,
18,Indian Overseas Bank,2024,8,107.88,96.86%,1.84%,1.30%,0.55%,
19,UCO Bank,2024,8,90.38,99.31%,0.57%,0.12%,0.03%,
20,Fino Payments Bank,2024,8,85.69,95.99%,3.57%,0.44%,0.06%,
21,IDBI Bank,2024,8,70.75,99.54%,0.33%,0.13%,0.14%,
22,Bank of Maharashtra,2024,8,67.17,99.31%,0.34%,0.34%,0.07%,
23,RBL,2024,8,60.49,99.27%,0.42%,0.32%,0.19%,
24,Karnataka Bank,2024,8,52.41,99.26%,0.54%,0.19%,0.05%,
25,Karur Vysya Bank,2024,8,46.99,98.00%,1.23%,0.77%,0.27%,
26,One Mobikwik Systems Limited,2024,8,45.37,99.95%,0.03%,0.02%,0.00%,
27,IDFC First Bank,2024,8,39.12,98.68%,1.20%,0.12%,0.06%,
28,South Indian Bank,2024,8,38.46,99.08%,0.87%,0.04%,0.01%,
29,Bandhan Bank,2024,8,38.0,98.56%,0.39%,1.04%,0.06%,
30,Jammu and Kashmir Bank,2024,8,37.39,99.23%,0.25%,0.53%,0.52%,
31,AU Small Finance Bank,2024,8,36.23,98.80%,1.18%,0.02%,0.01%,
32,Tamilnad Mercantile Bank,2024,8,28.01,99.48%,0.09%,0.43%,0.08%,
33,Tri O Tech Solutions Private Limited,2024,8,27.57,96.28%,3.70%,0.02%,0.00%,
34,City Union Bank,2024,8,23.98,97.80%,1.70%,0.50%,0.01%,
35,Ujjivan Small Finance Bank,2024,8,22.97,98.91%,0.77%,0.32%,0.15%,
36,Punjab and Sind Bank,2024,8,20.54,98.57%,1.06%,0.37%,0.08%,
37,Kerala Gramin Bank,2024,8,18.28,97.28%,0.83%,1.89%,0.85%,
38,CITI Bank,2024,8,17.18,98.67%,1.22%,0.11%,0.04%,
39,Jio Payments Bank,2024,8,14.7,98.20%,0.85%,0.94%,0.43%,
40,Karnataka Gramin Bank,2024,8,13.94,94.83%,0.91%,4.26%,2.26%,
41,Equitas Bank,2024,8,13.8,97.69%,1.97%,0.34%,0.04%,
42,Andhra Pradesh Grameena Vikas Bank,2024,8,12.97,98.64%,0.41%,0.95%,0.07%,
43,Baroda U.P. Bank,2024,8,12.43,97.54%,0.33%,2.13%,0.60%,
44,ESAF Small Finance Bank Ltd,2024,8,11.85,98.74%,1.06%,0.20%,0.04%,
45,Maharashtra Gramin Bank,2024,8,11.41,98.29%,0.28%,1.43%,0.17%,
46,DBS Bank,2024,8,10.91,98.65%,1.33%,0.02%,0.01%,
47,Rajasthan Marudhara Gramin Bank,2024,8,10.52,97.75%,0.51%,1.74%,0.23%,
48,Andhra Pragathi Grameena Bank,2024,8,8.91,98.06%,0.23%,1.71%,0.13%,
49,Sarva Haryana Gramin Bank,2024,8,8.71,95.16%,0.36%,4.48%,0.39%,
50,Cosmos Bank,2024,8,8.61,97.57%,0.34%,2.09%,1.20%,
1,Paytm Payments Bank,2022,12,1726.94,99.71%,0.22%,0.06%,0.02%,
2,YES Bank,2022,12,1309.96,99.82%,0.06%,0.11%,0.01%,
3,State Bank of India,2022,12,938.15,97.92%,0.21%,1.71%,0.16%,
4,Axis Bank,2022,12,562.51,99.77%,0.12%,0.05%,0.06%,
5,ICICI Bank,2022,12,543.27,98.88%,0.38%,0.71%,0.04%,
6,HDFC Bank,2022,12,384.38,98.72%,0.61%,0.51%,0.17%,
7,Bank of Baroda,2022,12,249.01,94.55%,0.38%,4.59%,0.48%,
8,Union Bank of India,2022,12,242.13,98.96%,0.27%,0.58%,0.19%,
9,Canara Bank,2022,12,185.71,99.21%,0.43%,0.24%,0.12%,
10,Federal Bank,2022,12,175.68,99.69%,0.29%,0.02%,0.00%,
11,Punjab National Bank,2022,12,174.36,98.27%,0.83%,0.71%,0.19%,
12,Kotak Mahindra Bank,2022,12,157.66,97.61%,0.51%,1.63%,0.25%,
13,Bank of India,2022,12,137.98,99.59%,0.25%,0.11%,0.05%,
14,Indian Bank,2022,12,101.77,98.92%,0.27%,0.57%,0.23%,
15,Airtel Payments Bank,2022,12,93.38,98.79%,0.53%,0.37%,0.30%,
16,IndusInd Bank,2022,12,66.04,98.59%,0.43%,0.80%,0.17%,
17,Central Bank of India,2022,12,65.03,98.05%,0.59%,0.78%,0.57%,
18,India Post Payment Bank,2022,12,64.48,87.39%,1.92%,10.08%,0.61%,
19,Indian Overseas Bank,2022,12,53.54,97.11%,0.23%,1.96%,0.70%,
20,IDBI Bank,2022,12,51.55,98.65%,0.41%,0.65%,0.29%,
21,UCO Bank,2022,12,47.42,98.64%,0.68%,0.59%,0.09%,
22,IDFC First Bank,2022,12,42.48,96.75%,1.39%,1.62%,0.25%,
23,Bank of Maharashtra,2022,12,40.68,97.13%,0.30%,2.03%,0.53%,
24,Karnataka Bank,2022,12,32.03,98.33%,0.80%,0.82%,0.06%,
25,Karur Vysya Bank,2022,12,26.4,98.56%,0.50%,0.84%,0.10%,
